,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
79,AUS,SELFEMP,TOT,PC_EMP,A,1991,14.94005
80,AUS,SELFEMP,TOT,PC_EMP,A,1992,15.038429999999998
81,AUS,SELFEMP,TOT,PC_EMP,A,1993,15.35481
82,AUS,SELFEMP,TOT,PC_EMP,A,1994,14.879920000000002
83,AUS,SELFEMP,TOT,PC_EMP,A,1995,14.55846
84,AUS,SELFEMP,TOT,PC_EMP,A,1996,14.23104
85,AUS,SELFEMP,TOT,PC_EMP,A,1997,14.17805
86,AUS,SELFEMP,TOT,PC_EMP,A,1998,13.68025
87,AUS,SELFEMP,TOT,PC_EMP,A,1999,13.66896
88,AUS,SELFEMP,TOT,PC_EMP,A,2000,13.52428
89,AUS,SELFEMP,TOT,PC_EMP,A,2001,13.36004
90,AUS,SELFEMP,TOT,PC_EMP,A,2002,13.496479999999998
91,AUS,SELFEMP,TOT,PC_EMP,A,2003,13.129079999999998
92,AUS,SELFEMP,TOT,PC_EMP,A,2004,12.79167
93,AUS,SELFEMP,TOT,PC_EMP,A,2005,12.596969999999999
94,AUS,SELFEMP,TOT,PC_EMP,A,2006,12.08922
95,AUS,SELFEMP,TOT,PC_EMP,A,2007,11.68755
96,AUS,SELFEMP,TOT,PC_EMP,A,2008,11.47017
97,AUS,SELFEMP,TOT,PC_EMP,A,2009,11.52073
98,AUS,SELFEMP,TOT,PC_EMP,A,2010,11.51698
99,AUS,SELFEMP,TOT,PC_EMP,A,2011,11.07373
100,AUS,SELFEMP,TOT,PC_EMP,A,2012,10.37947
101,AUS,SELFEMP,TOT,PC_EMP,A,2013,10.09544
102,AUS,SELFEMP,TOT,PC_EMP,A,2014,10.17861
103,AUS,SELFEMP,TOT,PC_EMP,A,2015,10.2787
104,AUS,SELFEMP,TOT,PC_EMP,A,2016,10.04107
105,AUS,SELFEMP,WOMEN,PC_EMP,A,1965,10.245389999999999
106,AUS,SELFEMP,WOMEN,PC_EMP,A,1966,11.82573
107,AUS,SELFEMP,WOMEN,PC_EMP,A,1967,11.08545
108,AUS,SELFEMP,WOMEN,PC_EMP,A,1968,10.74893
109,AUS,SELFEMP,WOMEN,PC_EMP,A,1969,10.672360000000001
110,AUS,SELFEMP,WOMEN,PC_EMP,A,1970,10.54895
111,AUS,SELFEMP,WOMEN,PC_EMP,A,1971,10.22523
112,AUS,SELFEMP,WOMEN,PC_EMP,A,1972,10.42062
113,AUS,SELFEMP,WOMEN,PC_EMP,A,1973,9.898183
114,AUS,SELFEMP,WOMEN,PC_EMP,A,1974,10.53152
115,AUS,SELFEMP,WOMEN,PC_EMP,A,1975,11.20255
116,AUS,SELFEMP,WOMEN,PC_EMP,A,1976,11.42446
117,AUS,SELFEMP,WOMEN,PC_EMP,A,1977,12.63406
118,AUS,SELFEMP,WOMEN,PC_EMP,A,1978,12.43418
119,AUS,SELFEMP,WOMEN,PC_EMP,A,1979,12.70284
120,AUS,SELFEMP,WOMEN,PC_EMP,A,1980,12.914810000000001
121,AUS,SELFEMP,WOMEN,PC_EMP,A,1981,12.69107
122,AUS,SELFEMP,WOMEN,PC_EMP,A,1982,12.675289999999999
123,AUS,SELFEMP,WOMEN,PC_EMP,A,1983,12.65762
124,AUS,SELFEMP,WOMEN,PC_EMP,A,1984,12.233410000000001
125,AUS,SELFEMP,WOMEN,PC_EMP,A,1985,12.0474
126,AUS,SELFEMP,WOMEN,PC_EMP,A,1986,12.72177
127,AUS,SELFEMP,WOMEN,PC_EMP,A,1987,12.25811
128,AUS,SELFEMP,WOMEN,PC_EMP,A,1988,12.34587
129,AUS,SELFEMP,WOMEN,PC_EMP,A,1989,11.66271
130,AUS,SELFEMP,WOMEN,PC_EMP,A,1990,11.5904
131,AUS,SELFEMP,WOMEN,PC_EMP,A,1991,12.02012
132,AUS,SELFEMP,WOMEN,PC_EMP,A,1992,11.96803
133,AUS,SELFEMP,WOMEN,PC_EMP,A,1993,12.17122
134,AUS,SELFEMP,WOMEN,PC_EMP,A,1994,11.860489999999999
135,AUS,SELFEMP,WOMEN,PC_EMP,A,1995,11.499419999999999
136,AUS,SELFEMP,WOMEN,PC_EMP,A,1996,11.24875
137,AUS,SELFEMP,WOMEN,PC_EMP,A,1997,11.54101
138,AUS,SELFEMP,WOMEN,PC_EMP,A,1998,10.6697
139,AUS,SELFEMP,WOMEN,PC_EMP,A,1999,10.57125
140,AUS,SELFEMP,WOMEN,PC_EMP,A,2000,10.39965
141,AUS,SELFEMP,WOMEN,PC_EMP,A,2001,10.06838
142,AUS,SELFEMP,WOMEN,PC_EMP,A,2002,10.20234
143,AUS,SELFEMP,WOMEN,PC_EMP,A,2003,9.760672999999999
144,AUS,SELFEMP,WOMEN,PC_EMP,A,2004,9.592367999999999
145,AUS,SELFEMP,WOMEN,PC_EMP,A,2005,9.622665
146,AUS,SELFEMP,WOMEN,PC_EMP,A,2006,9.061047
147,AUS,SELFEMP,WOMEN,PC_EMP,A,2007,8.767033
148,AUS,SELFEMP,WOMEN,PC_EMP,A,2008,8.748035
149,AUS,SELFEMP,WOMEN,PC_EMP,A,2009,8.658225
150,AUS,SELFEMP,WOMEN,PC_EMP,A,2010,8.799292
151,AUS,SELFEMP,WOMEN,PC_EMP,A,2011,8.507283000000001
152,AUS,SELFEMP,WOMEN,PC_EMP,A,2012,8.201335
153,AUS,SELFEMP,WOMEN,PC_EMP,A,2013,7.888205
154,AUS,SELFEMP,WOMEN,PC_EMP,A,2014,7.984249
155,AUS,SELFEMP,WOMEN,PC_EMP,A,2015,8.149455
156,AUS,SELFEMP,WOMEN,PC_EMP,A,2016,8.127125
157,AUT,SELFEMP,MEN,PC_EMP,A,1999,13.93501
158,AUT,SELFEMP,MEN,PC_EMP,A,2000,13.81635
159,AUT,SELFEMP,MEN,PC_EMP,A,2001,14.319720000000002
160,AUT,SELFEMP,MEN,PC_EMP,A,2002,14.108429999999998
161,AUT,SELFEMP,MEN,PC_EMP,A,2003,14.16787
162,AUT,SELFEMP,MEN,PC_EMP,A,2004,14.3
163,AUT,SELFEMP,MEN,PC_EMP,A,2005,15.076239999999999
164,AUT,SELFEMP,MEN,PC_EMP,A,2006,15.14988
165,AUT,SELFEMP,MEN,PC_EMP,A,2007,15.54238
166,AUT,SELFEMP,MEN,PC_EMP,A,2008,15.6111
167,AUT,SELFEMP,MEN,PC_EMP,A,2009,15.794839999999999
168,AUT,SELFEMP,MEN,PC_EMP,A,2010,16.07891
169,AUT,SELFEMP,MEN,PC_EMP,A,2011,15.546920000000002
170,AUT,SELFEMP,MEN,PC_EMP,A,2012,15.35583
171,AUT,SELFEMP,MEN,PC_EMP,A,2013,15.54215
172,AUT,SELFEMP,MEN,PC_EMP,A,2014,15.753720000000001
173,AUT,SELFEMP,MEN,PC_EMP,A,2015,15.32502
174,AUT,SELFEMP,MEN,PC_EMP,A,2016,15.099129999999999
175,AUT,SELFEMP,MEN,PC_EMP,A,2017,14.627279999999999
176,AUT,SELFEMP,TOT,PC_EMP,A,1999,13.36103
177,AUT,SELFEMP,TOT,PC_EMP,A,2000,13.08941
178,AUT,SELFEMP,TOT,PC_EMP,A,2001,13.39199
179,AUT,SELFEMP,TOT,PC_EMP,A,2002,13.06228
180,AUT,SELFEMP,TOT,PC_EMP,A,2003,12.90172
181,AUT,SELFEMP,TOT,PC_EMP,A,2004,12.20458
182,AUT,SELFEMP,TOT,PC_EMP,A,2005,12.95289
183,AUT,SELFEMP,TOT,PC_EMP,A,2006,13.04822
184,AUT,SELFEMP,TOT,PC_EMP,A,2007,13.688410000000001
185,AUT,SELFEMP,TOT,PC_EMP,A,2008,13.542639999999999
186,AUT,SELFEMP,TOT,PC_EMP,A,2009,13.639529999999999
187,AUT,SELFEMP,TOT,PC_EMP,A,2010,13.812420000000001
188,AUT,SELFEMP,TOT,PC_EMP,A,2011,13.277239999999999
189,AUT,SELFEMP,TOT,PC_EMP,A,2012,13.07328
190,AUT,SELFEMP,TOT,PC_EMP,A,2013,13.20125
191,AUT,SELFEMP,TOT,PC_EMP,A,2014,13.28819
192,AUT,SELFEMP,TOT,PC_EMP,A,2015,12.99757
193,AUT,SELFEMP,TOT,PC_EMP,A,2016,12.72081
194,AUT,SELFEMP,TOT,PC_EMP,A,2017,12.377360000000001
195,AUT,SELFEMP,WOMEN,PC_EMP,A,1999,12.61553
196,AUT,SELFEMP,WOMEN,PC_EMP,A,2000,12.14746
197,AUT,SELFEMP,WOMEN,PC_EMP,A,2001,12.225439999999999
198,AUT,SELFEMP,WOMEN,PC_EMP,A,2002,11.7717
199,AUT,SELFEMP,WOMEN,PC_EMP,A,2003,11.34897
200,AUT,SELFEMP,WOMEN,PC_EMP,A,2004,9.649227
201,AUT,SELFEMP,WOMEN,PC_EMP,A,2005,10.40041
202,AUT,SELFEMP,WOMEN,PC_EMP,A,2006,10.5313
203,AUT,SELFEMP,WOMEN,PC_EMP,A,2007,11.46689
204,AUT,SELFEMP,WOMEN,PC_EMP,A,2008,11.1017
205,AUT,SELFEMP,WOMEN,PC_EMP,A,2009,11.150780000000001
206,AUT,SELFEMP,WOMEN,PC_EMP,A,2010,11.20833
207,AUT,SELFEMP,WOMEN,PC_EMP,A,2011,10.676680000000001
208,AUT,SELFEMP,WOMEN,PC_EMP,A,2012,10.482439999999999
209,AUT,SELFEMP,WOMEN,PC_EMP,A,2013,10.54936
210,AUT,SELFEMP,WOMEN,PC_EMP,A,2014,10.52014
211,AUT,SELFEMP,WOMEN,PC_EMP,A,2015,10.38687
212,AUT,SELFEMP,WOMEN,PC_EMP,A,2016,10.043560000000001
213,AUT,SELFEMP,WOMEN,PC_EMP,A,2017,9.847588
214,BEL,SELFEMP,MEN,PC_EMP,A,1960,24.14226
215,BEL,SELFEMP,MEN,PC_EMP,A,1961,23.4609
216,BEL,SELFEMP,MEN,PC_EMP,A,1962,22.956879999999998
217,BEL,SELFEMP,MEN,PC_EMP,A,1963,22.17693
218,BEL,SELFEMP,MEN,PC_EMP,A,1964,21.25
219,BEL,SELFEMP,MEN,PC_EMP,A,1965,20.76305
220,BEL,SELFEMP,MEN,PC_EMP,A,1966,20.5314
221,BEL,SELFEMP,MEN,PC_EMP,A,1967,20.62525
