,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost
87,GRC,TRADEGOOD,EXP,MLN_USD,A,2015,27496.76
88,GRC,TRADEGOOD,EXP,MLN_USD,A,2016,27077.85
89,GRC,TRADEGOOD,EXP,MLN_USD,A,2017,31483.23
90,GRC,TRADEGOOD,IMP,MLN_USD,A,2013,63284.41
91,GRC,TRADEGOOD,IMP,MLN_USD,A,2014,65066.09
92,GRC,TRADEGOOD,IMP,MLN_USD,A,2015,46612.59
93,GRC,TRADEGOOD,IMP,MLN_USD,A,2016,45417.27
94,GRC,TRADEGOOD,IMP,MLN_USD,A,2017,52171.82
95,HUN,TRADEGOOD,EXP,MLN_USD,A,2013,93309.71
96,HUN,TRADEGOOD,EXP,MLN_USD,A,2014,97955.26
97,HUN,TRADEGOOD,EXP,MLN_USD,A,2015,88384.48
98,HUN,TRADEGOOD,EXP,MLN_USD,A,2016,88601.56
99,HUN,TRADEGOOD,EXP,MLN_USD,A,2017,98600.55
100,HUN,TRADEGOOD,IMP,MLN_USD,A,2013,88874.84
101,HUN,TRADEGOOD,IMP,MLN_USD,A,2014,95127.7
102,HUN,TRADEGOOD,IMP,MLN_USD,A,2015,83486.89
103,HUN,TRADEGOOD,IMP,MLN_USD,A,2016,83487.52
104,HUN,TRADEGOOD,IMP,MLN_USD,A,2017,96097.92
105,ISL,TRADEGOOD,EXP,MLN_USD,A,2013,4592.362
106,ISL,TRADEGOOD,EXP,MLN_USD,A,2014,4870.38
107,ISL,TRADEGOOD,EXP,MLN_USD,A,2015,4658.077
108,ISL,TRADEGOOD,EXP,MLN_USD,A,2016,4470.712
109,ISL,TRADEGOOD,EXP,MLN_USD,A,2017,4964.548
110,ISL,TRADEGOOD,IMP,MLN_USD,A,2013,4528.393
111,ISL,TRADEGOOD,IMP,MLN_USD,A,2014,4958.821
112,ISL,TRADEGOOD,IMP,MLN_USD,A,2015,4927.501
113,ISL,TRADEGOOD,IMP,MLN_USD,A,2016,5312.491999999999
114,ISL,TRADEGOOD,IMP,MLN_USD,A,2017,6506.975
115,IRL,TRADEGOOD,EXP,MLN_USD,A,2013,131066.4
116,IRL,TRADEGOOD,EXP,MLN_USD,A,2014,151866.4
117,IRL,TRADEGOOD,EXP,MLN_USD,A,2015,222227.1
118,IRL,TRADEGOOD,EXP,MLN_USD,A,2016,212016.9
119,IRL,TRADEGOOD,EXP,MLN_USD,A,2017,218973.5
120,IRL,TRADEGOOD,IMP,MLN_USD,A,2013,85261.12
121,IRL,TRADEGOOD,IMP,MLN_USD,A,2014,97824.7
122,IRL,TRADEGOOD,IMP,MLN_USD,A,2015,96436.68
123,IRL,TRADEGOOD,IMP,MLN_USD,A,2016,95060.0
124,IRL,TRADEGOOD,IMP,MLN_USD,A,2017,97983.65
125,ITA,TRADEGOOD,EXP,MLN_USD,A,2013,503227.4
126,ITA,TRADEGOOD,EXP,MLN_USD,A,2014,516801.8
127,ITA,TRADEGOOD,EXP,MLN_USD,A,2015,450364.7
128,ITA,TRADEGOOD,EXP,MLN_USD,A,2016,453407.5
129,ITA,TRADEGOOD,EXP,MLN_USD,A,2017,495375.3
130,ITA,TRADEGOOD,IMP,MLN_USD,A,2013,455306.1
131,ITA,TRADEGOOD,IMP,MLN_USD,A,2014,453902.3
132,ITA,TRADEGOOD,IMP,MLN_USD,A,2015,393671.7
133,ITA,TRADEGOOD,IMP,MLN_USD,A,2016,389647.5
134,ITA,TRADEGOOD,IMP,MLN_USD,A,2017,432504.7
135,JPN,TRADEGOOD,EXP,MLN_USD,A,2013,694982.6
136,JPN,TRADEGOOD,EXP,MLN_USD,A,2014,699824.8
137,JPN,TRADEGOOD,EXP,MLN_USD,A,2015,622088.6
138,JPN,TRADEGOOD,EXP,MLN_USD,A,2016,635027.3
139,JPN,TRADEGOOD,EXP,MLN_USD,A,2017,688923.4
