GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
486673.71,312609.5,6.59,18.79,2,1,0,1,6
486673.71,312609.5,18.21,15.08,0,1,0,1,6
499939.48,317347.2,30.48,10.86,1,0,0,0,6
499939.48,317347.2,7.15,17.86,2,0,0,0,6
499939.48,317347.2,18.13,14.61,0,0,0,0,6
499939.48,310312.5,30.48,10.86,1,0,0,1,6
499939.48,310312.5,7.15,17.86,2,0,0,1,6
499939.48,310312.5,18.13,14.61,0,0,0,1,6
512016.49,251903.7,30.23,11.08,1,2,0,0,6
512016.49,251903.7,7.27,18.75,2,2,0,0,6
512016.49,251903.7,18.15,15.18,0,2,0,0,6
512016.49,253439,30.23,11.08,1,2,0,1,6
512016.49,253439,7.27,18.75,2,2,0,1,6
512016.49,253439,18.15,15.18,0,2,0,1,6
525969.12,273182.6,30.03,10.64,1,3,0,0,6
525969.12,273182.6,6.92,18.45,2,3,0,0,6
525969.12,273182.6,17.77,14.84,0,3,0,0,6
525969.12,274433.3,30.03,10.64,1,3,0,1,6
525969.12,274433.3,6.92,18.45,2,3,0,1,6
525969.12,274433.3,17.77,14.84,0,3,0,1,6
544041.97,300332.4,27.81,10.67,1,4,0,0,6
544041.97,300332.4,6.47,17.4,2,4,0,0,6
544041.97,300332.4,16.39,14.29,0,4,0,0,6
544041.97,300584.9,27.81,10.67,1,4,0,1,6
544041.97,300584.9,6.47,17.4,2,4,0,1,6
544041.97,300584.9,16.39,14.29,0,4,0,1,6
43745.95,321398.8,31.43,10.71,1,1,0,0,6
43745.95,321398.8,6.59,18.79,2,1,0,0,6
43745.95,321398.8,18.21,15.08,0,1,0,0,6
43745.95,312609.5,31.43,10.71,1,1,0,1,6
43745.95,312609.5,6.59,18.79,2,1,0,1,6
43745.95,312609.5,18.21,15.08,0,1,0,1,6
44717.31,317347.2,30.48,10.86,1,0,0,0,6
44717.31,317347.2,7.15,17.86,2,0,0,0,6
44717.31,317347.2,18.13,14.61,0,0,0,0,6
44717.31,310312.5,30.48,10.86,1,0,0,1,6
44717.31,310312.5,7.15,17.86,2,0,0,1,6
44717.31,310312.5,18.13,14.61,0,0,0,1,6
45561.18,251903.7,30.23,11.08,1,2,0,0,6
45561.18,251903.7,7.27,18.75,2,2,0,0,6
45561.18,251903.7,18.15,15.18,0,2,0,0,6
45561.18,253439,30.23,11.08,1,2,0,1,6
45561.18,253439,7.27,18.75,2,2,0,1,6
45561.18,253439,18.15,15.18,0,2,0,1,6
46566.54,273182.6,30.03,10.64,1,3,0,0,6
46566.54,273182.6,6.92,18.45,2,3,0,0,6
46566.54,273182.6,17.77,14.84,0,3,0,0,6
46566.54,274433.3,30.03,10.64,1,3,0,1,6
46566.54,274433.3,6.92,18.45,2,3,0,1,6
46566.54,274433.3,17.77,14.84,0,3,0,1,6
47941.66,300332.4,27.81,10.67,1,4,0,0,6
47941.66,300332.4,6.47,17.4,2,4,0,0,6
47941.66,300332.4,16.39,14.29,0,4,0,0,6
47941.66,300584.9,27.81,10.67,1,4,0,1,6
47941.66,300584.9,6.47,17.4,2,4,0,1,6
47941.66,300584.9,16.39,14.29,0,4,0,1,6
1550269.81,473116.9,26.7,8.12,1,1,0,0,21
1550269.81,473116.9,12.16,9.48,2,1,0,0,21
1550269.81,473116.9,19.1,8.83,0,1,0,0,21
1550269.81,465209.2,26.7,8.12,1,1,0,1,21
1550269.81,465209.2,12.16,9.48,2,1,0,1,21
1550269.81,465209.2,19.1,8.83,0,1,0,1,21
1617564.49,474937.9,27,8.04,1,0,0,0,21
1617564.49,474937.9,12.29,9.4,2,0,0,0,21
1617564.49,474937.9,19.29,8.76,0,0,0,0,21
1617564.49,479168,27,8.04,1,0,0,1,21
1617564.49,479168,12.29,9.4,2,0,0,1,21
1617564.49,479168,19.29,8.76,0,0,0,1,21
1599827.51,429256.3,26.39,8.01,1,2,0,0,21
1599827.51,429256.3,12.1,9.18,2,2,0,0,21
1599827.51,429256.3,18.88,8.62,0,2,0,0,21
1599827.51,410688.3,26.39,8.01,1,2,0,1,21
1599827.51,410688.3,12.1,9.18,2,2,0,1,21
1599827.51,410688.3,18.88,8.62,0,2,0,1,21
1625361.35,412960,26.41,8.08,1,3,0,0,21
1625361.35,412960,12.61,9.04,2,3,0,0,21
1625361.35,412960,19.19,8.58,0,3,0,0,21
1625361.35,393440,26.41,8.08,1,3,0,1,21
1625361.35,393440,12.61,9.04,2,3,0,1,21
1625361.35,393440,19.19,8.58,0,3,0,1,21
1714447.05,441856.4,26.17,7.96,1,4,0,0,21
