461582.96,157799.4,8.63,14.63,0.0,7.0,2.0,4.0,0.0
461582.96,157799.4,20.94,12.38,0.0,7.0,0.0,4.0,0.0
461582.96,156436.6,34.75,9.85,1.0,7.0,1.0,4.0,0.0
461582.96,156436.6,8.63,14.63,1.0,7.0,2.0,4.0,0.0
461582.96,156436.6,20.94,12.38,1.0,7.0,0.0,4.0,0.0
47936.68,165526.9,33.42,10.55,0.0,7.0,1.0,1.0,0.0
47936.68,165526.9,7.9,15.54,0.0,7.0,2.0,1.0,0.0
47936.68,165526.9,19.86,13.2,0.0,7.0,0.0,1.0,0.0
47936.68,164204.7,33.42,10.55,1.0,7.0,1.0,1.0,0.0
47936.68,164204.7,7.9,15.54,1.0,7.0,2.0,1.0,0.0
47936.68,164204.7,19.86,13.2,1.0,7.0,0.0,1.0,0.0
48801.31,166206.5,34.93,10.52,0.0,7.0,1.0,0.0,0.0
48801.31,166206.5,8.47,15.75,0.0,7.0,2.0,0.0,0.0
48801.31,166206.5,20.94,13.29,0.0,7.0,0.0,0.0,0.0
48801.31,167318.3,34.93,10.52,1.0,7.0,1.0,0.0,0.0
48801.31,167318.3,8.47,15.75,1.0,7.0,2.0,0.0,0.0
48801.31,167318.3,20.94,13.29,1.0,7.0,0.0,0.0,0.0
49959.26,140503.4,34.98,10.39,0.0,7.0,1.0,2.0,0.0
49959.26,140503.4,8.58,15.33,0.0,7.0,2.0,2.0,0.0
49959.26,140503.4,21.03,13.0,0.0,7.0,0.0,2.0,0.0
49959.26,142823.0,34.98,10.39,1.0,7.0,1.0,2.0,0.0
49959.26,142823.0,8.58,15.33,1.0,7.0,2.0,2.0,0.0
49959.26,142823.0,21.03,13.0,1.0,7.0,0.0,2.0,0.0
50503.33,142235.6,34.71,10.04,0.0,7.0,1.0,3.0,0.0
50503.33,142235.6,8.57,15.1,0.0,7.0,2.0,3.0,0.0
50503.33,142235.6,20.89,12.72,0.0,7.0,0.0,3.0,0.0
50503.33,142571.8,34.71,10.04,1.0,7.0,1.0,3.0,0.0
50503.33,142571.8,8.57,15.1,1.0,7.0,2.0,3.0,0.0
50503.33,142571.8,20.89,12.72,1.0,7.0,0.0,3.0,0.0
52467.53,157799.4,34.75,9.85,0.0,7.0,1.0,4.0,0.0
52467.53,157799.4,8.63,14.63,0.0,7.0,2.0,4.0,0.0
52467.53,157799.4,20.94,12.38,0.0,7.0,0.0,4.0,0.0
52467.53,156436.6,34.75,9.85,1.0,7.0,1.0,4.0,0.0
52467.53,156436.6,8.63,14.63,1.0,7.0,2.0,4.0,0.0
52467.53,156436.6,20.94,12.38,1.0,7.0,0.0,4.0,0.0
486673.71,321398.8,31.43,10.71,0.0,6.0,1.0,1.0,0.0
486673.71,321398.8,6.59,18.79,0.0,6.0,2.0,1.0,0.0
486673.71,321398.8,18.21,15.08,0.0,6.0,0.0,1.0,0.0
486673.71,312609.5,31.43,10.71,1.0,6.0,1.0,1.0,0.0
486673.71,312609.5,6.59,18.79,1.0,6.0,2.0,1.0,0.0
486673.71,312609.5,18.21,15.08,1.0,6.0,0.0,1.0,0.0
499939.48,317347.2,30.48,10.86,0.0,6.0,1.0,0.0,0.0
499939.48,317347.2,7.15,17.86,0.0,6.0,2.0,0.0,0.0
