113, Indonesia,3267,,4054,,5396,,5652,,6009,,6232,,6436,,6666
69, Iran (Islamic Republic of),3014,,4754,,5263,,5447,,5088,,4977,,5181,,5132
121, Iraq,2956,,2903,,3701,,3940,,4346,,4450,,3591,,3552
8, Ireland,23132,,28716,,28877,,28728,,28892,,30153,,32070,,33497
19, Israel,18154,,18570,,21145,,22123,,21967,,22882,,23234,,23313
26, Italy,22363,,24130,,24313,,24393,,23673,,22986,,22738,,22910
94, Jamaica,5950,,6074,,6349,,6477,,6590,,6564,,6581,,6628
17, Japan,21633,,22329,,23277,,23585,,24180,,24817,,25184,,25381
86, Jordan,1816,,2224,,3210,,3185,,3163,,3191,,3210,,3203
56, Kazakhstan,7083,,11213,,13677,,14139,,14720,,15949,,16400,,16359
146, Kenya,1695,,1788,,2074,,2146,,2178,,2236,,2291,,2357
18, Korea (Republic of),13972,,15597,,18809,,19508,,20095,,20506,,20820,,21311
51, Kuwait,42143,,48881,,36126,,37224,,38178,,36809,,35148,,35164
120, Kyrgyzstan,1434,,1605,,1811,,1820,,1930,,2078,,2094,,2124
44, Latvia,8579,,13656,,15025,,16253,,16966,,17689,,18243,,18822
76, Lebanon,4546,,4836,,7047,,6907,,6571,,6123,,5974,,5844
160, Lesotho,1711,,1922,,2079,,2264,,2253,,2505,,2562,,2631
177, Liberia,545,,426,,527,,570,,565,,590,,582,,575
102, Libya,9479,,12004,,14167,,5389,,10701,,9615,,7714,,7163
37, Lithuania,9459,,14112,,17571,,18659,,19728,,20748,,21635,,22144
20, Luxembourg,42201,,57327,,53740,,50664,,49401,,47920,,49930,,47550
158, Madagascar,1176,,1132,,1135,,1115,,1100,,1094,,1101,,1091
170, Malawi,1269,,701,,956,,971,,948,,959,,982,,972
59, Malaysia,8645,,10312,,14139,,14792,,15240,,15867,,16276,,17168
105, Maldives,3205,,4687,,6206,,6603,,6663,,6853,,7191,,7155
175, Mali,628,,735,,1053,,1101,,1180,,1235,,1296,,1349
33, Malta,13371,,14997,,15162,,15416,,15573,,15933,,16436,,17294
157, Mauritania,1072,,1246,,1494,,1498,,1543,,1599,,1626,,1608
64, Mauritius,6164,,6860,,9101,,9380,,9701,,9999,,10199,,10534
77, Mexico,8293,,9066,,9934,,10173,,10451,,10342,,10560,,10710
92, Mongolia,4121,,5035,,5956,,6685,,7783,,8122,,8851,,8809
48, Montenegro,7518,,8131,,10293,,10949,,10713,,11117,,11237,,11757
123, Morocco,1953,,2362,,2891,,3031,,3095,,3244,,3286,,3388
181, Mozambique,493,,640,,824,,874,,918,,952,,985,,1016
145, Myanmar,1013,,1790,,3053,,3202,,3398,,3648,,3941,,4182
125, Namibia,4537,,5441,,6561,,6830,,6910,,7396,,7725,,7973
144, Nepal,1078,,1416,,1713,,1744,,1808,,1855,,1938,,1979
7, Netherlands,31542,,34921,,29892,,30561,,30208,,29962,,29693,,30112
13, New Zealand,19744,,21606,,22362,,22879,,23458,,23606,,23950,,24414
124, Nicaragua,1752,,2179,,2530,,2675,,2792,,2915,,3041,,3150
187, Niger,369,,388,,437,,430,,458,,462,,479,,481
152, Nigeria,1610,,2665,,3692,,3765,,3828,,3935,,4131,,4132
1, Norway,45185,,55246,,55313,,55305,,56520,,56464,,59150,,59813
52, Oman,13349,,14485,,16335,,15173,,15390,,15809,,15816,,15703
147, Pakistan,852,,1065,,1324,,1324,,1363,,1387,,1382,,1497
60, Panama,7541,,8915,,10153,,11545,,12762,,13385,,13975,,14545
154, Papua New Guinea,1501,,1472,,1811,,1960,,2073,,2142,,2271,,2362
110, Paraguay,3024,,3142,,4821,,5050,,4940,,5669,,5696,,6139
87, Peru,4380,,5254,,7102,,7410,,7972,,7810,,8811,,8936
116, Philippines,3591,,4687,,5951,,5531,,5893,,6296,,6573,,6843
36, Poland,10897,,12418,,16537,,17358,,17653,,17900,,18186,,18921
41, Portugal,19040,,21528,,22102,,21535,,20771,,20631,,20829,,21097
33, Qatar,48657,,37756,,43613,,48400,,49867,,51121,,51104,,50313
50, Romania,8282,,11240,,13913,,14043,,14432,,15145,,15837,,16276
49, Russian Federation,10667,,14852,,16430,,17158,,17703,,18842,,18701,,17870
159, Rwanda,687,,868,,1166,,1223,,1293,,1313,,1371,,1428
92, Saint Lucia,7609,,7474,,8535,,8523,,8069,,7970,,7955,,8033
104, Samoa,2346,,2943,,3330,,3495,,3482,,3398,,3413,,3444
162, Senegal,1351,,1499,,1633,,1610,,1629,,1622,,1657,,1706
66, Serbia,5393,,7122,,9744,,9953,,9702,,9818,,9594,,9601
179, Sierra Leone,953,,1039,,1241,,1286,,1445,,1699,,1736,,1354
5, Singapore,34853,,36332,,49364,,57717,,57186,,59025,,60318,,60808
40, Slovakia,11387,,14149,,18295,,17924,,18555,,19230,,19411,,20170
25, Slovenia,17294,,23505,,25343,,25397,,24608,,24373,,25141,,25651
156, Solomon Islands,872,,802,,919,,1016,,1041,,1053,,1048,,1061
0, Somalia,151,,156,,167,,168,,169,,169,,170,,170
119, South Africa,6936,,7919,,8591,,8672,,8900,,8815,,8810,,8797
27, Spain,19698,,23000,,24620,,23991,,23378,,23052,,23533,,24377
73, Sri Lanka,3307,,3841,,4611,,4972,,5368,,5501,,5856,,6069
165, Sudan,938,,1117,,1463,,1637,,1810,,1830,,1857,,1902
97, Suriname,5490,,7171,,9183,,9200,,9670,,10085,,10352,,10501
148, Swaziland,4964,,5567,,4838,,4883,,4958,,5019,,5060,,5078
14, Sweden,31958,,36624,,38798,,39582,,39398,,39483,,39041,,40327
2, Switzerland,38229,,42016,,44549,,42858,,46077,,46251,,46254,,46808
149, Syrian Arab Republic,1517,,1835,,2005,,1925,,1555,,1226,,994,,835
129, Tajikistan,845,,1272,,1676,,1774,,1872,,1971,,2059,,2100
87, Thailand,6991,,8461,,11365,,11719,,12353,,12594,,12633,,12939
71, Turkey,6869,,5993,,9312,,9961,,10004,,9674,,10425,,10649
111, Turkmenistan,3235,,3854,,6091,,6877,,7539,,8199,,8901,,9359
163, Uganda,722,,700,,880,,1231,,1239,,1244,,1250,,1266
84, Ukraine,3504,,5438,,6196,,6353,,6559,,6557,,6522,,5791
42, United Arab Emirates,31293,,32528,,24738,,24779,,25778,,26241,,27042,,27254
16, United Kingdom,24547,,29321,,25164,,25456,,25552,,25598,,25923,,26311
10, United States,35422,,38850,,39858,,40284,,40838,,41175,,41709,,42275
54, Uruguay,9028,,9071,,12413,,13087,,13598,,14175,,14580,,14608
105, Uzbekistan,1633,,2011,,2935,,3114,,3284,,3529,,3730,,3891
134, Vanuatu,2005,,1838,,2163,,2156,,2067,,2187,,2207,,2139
115, Viet Nam,2164,,3065,,3816,,4014,,4250,,4451,,4634,,4835
168, Yemen,1423,,1589,,1793,,1494,,1498,,1532,,1497,,1045
139, Zambia,1583,,1786,,2448,,2577,,2761,,2772,,2800,,2803
154, Zimbabwe,1861,,1301,,1127,,1209,,1304,,1328,,1341,,1360
