HDI Rank (2015),Country,2000_gni,,2005_gni,,2010_gni,,2011_gni,,2012_gni,,2013_gni,,2014_gni,,2015_gni
66, Costa Rica,12656,,13507,,16286,,16673,,17288,,17567, a,17747,,18050
45, Croatia,18428,,22631,,22836,,23533,,23028,,23108, a,22827,,23896
68, Cuba,5741,,7136,,8804,,9078,,9324,,9538, a,9640,,9874
33, Cyprus,36022,,40937,,39360,,39744,,36897,,34474, a,34224,,35230
28, Czech Republic,26497,,31435,,33642,,33720,,33685,,33488, a,33941,,35540
171, Côte d'Ivoire,3926,,3503,,3477,,3237,,3517,,3687, a,3923,,4155
5, Denmark,49941,,53861,,51472,,52071,,51825,,52123, a,52149,,52293
172, Djibouti,2800,,3124,,3741,,3849,,3970,,4103, a,4286,,4441
99, Dominican Republic,10671,,10734,,13491,,14353,,14075,,14324, a,15119,,16258
89, Ecuador,9441,,11030,,11110,,11722,,12019,,12602, a,12918,,12794
111, Egypt,12630,,13376,,15723,,15150,,14929,,14879, a,14882,,15269
117, El Salvador,8609,,9304,,9443,,9594,,9622,,9722, a,10176,,10385
135, Equatorial Guinea,16042,,29781,,24438,,24459,,25279,,21421, a,19976,,25375
179, Eritrea,1935,,1798,,1495,,1592,,1649,,1644, a,1670,,1693
30, Estonia,18499,,26329,,24932,,26983,,28838,,29986, a,30859,,31347
174, Ethiopia,765,,983,,1428,,1542,,1621,,1647, a,1767,,1887
91, Fiji,9653,,10462,,10193,,10287,,10323,,10896, a,11353,,11676
23, Finland,41926,,45421,,46658,,48013,,45928,,46428, a,45851,,45870
21, France,44891,,46091,,44486,,45314,,44384,,44484, a,44480,,44783
109, Gabon,19946,,20117,,17226,,17269,,19002,,19945, a,21982,,22177
173, Gambia,1811,,1764,,1909,,1752,,1787,,1805, a,1763,,1790
70, Georgia,4717,,7442,,9115,,9899,,10701,,10871, a,11629,,11869
4, Germany,47501,,47378,,50594,,52839,,53904,,52401, a,53937,,54450
139, Ghana,2603,,3049,,3553,,3889,,4065,,4363, a,4355,,4484
29, Greece,34752,,40166,,37963,,34254,,33010,,31965, a,32501,,32687
125, Guatemala,8759,,8785,,8987,,9097,,8520,,8770, a,8897,,9081
183, Guinea,1394,,1330,,1271,,1298,,1342,,1332, a,1297,,1267
178, Guinea-Bissau,1590,,1543,,1582,,1660,,1558,,1571, a,1567,,1603
127, Guyana,6558,,7096,,8222,,8449,,8827,,8989, a,9170,,9397
163, Haiti,2157,,1952,,1782,,1858,,1886,,1927, a,1944,,1950
130, Honduras,4831,,5525,,5854,,5924,,5971,,6038, a,6129,,6254
12," Hong Kong, China (SAR)",45711,,54144,,63903,,68980,,67564,,70111, a,70654,,70933
43, Hungary,21529,,25359,,25498,,26821,,26905,,27996, a,28668,,29561
9, Iceland,35387,,41733,,39870,,40632,,40936,,42175, a,42310,,43575
131, India,3733,,4691,,6916,,7291,,7499,,7894, a,8369,,8896
113, Indonesia,7215,,8917,,11028,,11514,,11977,,12504, a,12922,,13393
69, Iran (Islamic Republic of),20535,,24011,,29506,,30215,,27904,,26971, a,27734,,27499
121, Iraq,20452,,18615,,21178,,22229,,24345,,24581, a,19693,,19467
8, Ireland,45612,,52561,,46816,,46573,,46811,,48811, a,51867,,54135
19, Israel,29478,,33157,,37039,,38413,,38296,,38653, a,39181,,39248
26, Italy,50361,,50971,,47688,,47848,,46423,,45052, a,44537,,44844
94, Jamaica,10084,,10384,,9780,,9964,,10086,,9997, a,10017,,10086
17, Japan,44077,,47718,,48047,,47815,,48644,,49473, a,49405,,49822
86, Jordan,13346,,16528,,17069,,16871,,16696,,16672, a,16704,,16694
56, Kazakhstan,12963,,20262,,23596,,24367,,25446,,27551, a,28315,,28232
146, Kenya,2584,,2747,,2985,,3100,,3146,,3230, a,3310,,3405
18, Korea (Republic of),27189,,35093,,42259,,43620,,44471,,45463, a,46818,,47930
51, Kuwait,117905,,140705,,111341,,114875,,118123,,113873, a,108029,,107991
120, Kyrgyzstan,2429,,2922,,3408,,3422,,3623,,3893, a,4037,,4090
138, Lao People's Democratic Republic,2579,,3325,,4186,,4421,,4730,,5074, a,5416,,5696
44, Latvia,13804,,21092,,21914,,23246,,24390,,25487, a,26442,,27034
76, Lebanon,20725,,19233,,24733,,24258,,23134,,21602, a,21093,,20712
160, Lesotho,2515,,2975,,3160,,3444,,3445,,3834, a,3925,,4020
177, Liberia,754,,595,,715,,775,,771,,807, a,798,,788
102, Libya,32815,,38642,,43424,,16468,,32322,,28860, a,22879,,21364
37, Lithuania,14568,,22412,,23674,,25283,,26751,,28251, a,29822,,30533
20, Luxembourg,88063,,92583,,81705,,76255,,73322,,69982, a,72043,,77280
158, Madagascar,1666,,1614,,1618,,1587,,1564,,1556, a,1564,,1550
170, Malawi,1741,,1002,,1134,,1156,,1136,,1153, a,1189,,1175
59, Malaysia,20966,,24931,,26831,,28019,,28624,,29555, a,31149,,32210
105, Maldives,8161,,9231,,12136,,12809,,12820,,13130, a,13662,,13592
175, Mali,1399,,1721,,2364,,2481,,2669,,2803, a,2953,,3071
33, Malta,35946,,33659,,37986,,38230,,38237,,38915, a,39763,,41804
157, Mauritania,4691,,4915,,5098,,5084,,5206,,5393, a,5482,,5422
64, Mauritius,15863,,18468,,22670,,23188,,23810,,24375, a,24694,,25545
77, Mexico,20876,,20662,,21150,,21469,,21864,,21542, a,21806,,22115
107, Moldova (Republic of),2837,,4359,,4784,,5073,,5188,,5632, a,5883,,5636
92, Mongolia,5097,,6863,,8229,,9678,,10306,,12232, a,12168,,12122
48, Montenegro,13340,,14634,,17166,,17799,,17472,,18122, a,18310,,19149
123, Morocco,6851,,8446,,10031,,10347,,10444,,10819, a,10778,,11091
181, Mozambique,580,,767,,947,,1006,,1063,,1109, a,1151,,1184
145, Myanmar,1512,,2621,,4182,,4386,,4671,,5012, a,5412,,5740
