,GII Rank,Country,Gender Inequality Index (GII),Maternal Mortality Ratio,Adolescent Birth Rate,Percent Representation in Parliament,Population with Secondary Education (Female),Population with Secondary Education (Male),Labour Force Participation Rate (Female),Labour Force Participation Rate (Male)
80,81,The former Yugoslav Republic of Macedonia,0.16399999999999998,7.0,18.3,33.3,40.2,55.6,43.1,67.5
81,81,Ukraine,0.28600000000000003,23.0,25.7,11.8,91.7,95.9,53.2,66.9
82,83,Algeria,0.413,89.0,10.0,25.7,26.7,31.0,15.2,72.2
83,84,Peru,0.406,89.0,50.7,22.3,56.3,66.1,68.2,84.4
84,85,Albania,0.217,21.0,15.3,20.7,81.8,87.9,44.9,65.5
85,85,Armenia,0.318,29.0,27.1,10.7,94.0,95.0,54.2,72.6
86,85,Bosnia and Herzegovina,0.201,8.0,15.1,19.3,44.9,69.8,34.1,57.3
87,88,Ecuador,0.40700000000000003,87.0,77.0,41.6,40.1,39.4,54.7,82.7
89,90,China,0.191,32.0,8.6,23.6,58.7,71.9,63.9,78.3
90,90,Fiji,0.418,59.0,42.8,14.0,64.2,64.5,37.5,72.0
91,90,Mongolia,0.325,68.0,18.7,14.9,85.3,84.1,56.6,69.3
92,93,Thailand,0.38,26.0,41.0,6.1,35.7,40.8,64.3,80.7
94,94,Libya,0.134,15.0,2.5,16.0,55.5,41.9,30.0,76.4
95,96,Tunisia,0.24,46.0,4.6,31.3,32.8,46.1,25.1,70.9
96,97,Colombia,0.429,83.0,68.5,20.9,56.9,55.6,55.8,79.7
98,99,Jamaica,0.43,80.0,70.1,16.7,74.0,70.2,56.1,70.9
99,100,Tonga,0.6659999999999999,120.0,18.1,0.0,87.5,88.3,53.5,74.6
100,101,Belize,0.426,45.0,71.4,13.3,76.4,75.8,49.2,82.3
101,101,Dominican Republic,0.47700000000000004,100.0,99.6,19.1,55.6,53.1,51.3,78.6
102,103,Suriname,0.46299999999999997,130.0,35.2,11.8,44.6,47.1,40.5,68.8
103,104,Maldives,0.243,31.0,4.2,5.9,27.3,32.7,56.2,77.5
104,105,Samoa,0.457,58.0,28.3,6.1,64.3,60.0,23.5,58.4
105,106,Botswana,0.48,170.0,44.2,9.5,73.6,77.9,71.9,81.6
106,107,Moldova (Republic of),0.248,21.0,29.3,20.8,93.6,96.6,37.6,44.2
107,108,Egypt,0.573,45.0,43.0,2.2,43.9,60.6,23.7,74.8
109,110,Gabon,0.514,240.0,103.0,16.2,53.9,36.1,56.2,65.4
110,110,Indonesia,0.494,190.0,48.3,17.1,39.9,49.2,51.4,84.2
111,112,Paraguay,0.47200000000000003,110.0,67.0,16.8,36.8,43.0,55.7,84.8
114,115,Philippines,0.42,120.0,46.8,27.1,65.9,63.7,51.1,79.7
115,116,El Salvador,0.42700000000000005,69.0,76.0,27.4,36.8,43.6,47.8,79.0
116,116,South Africa,0.40700000000000003,140.0,50.9,40.7,72.7,75.9,44.5,60.5
117,116,Viet Nam,0.308,49.0,29.0,24.3,59.4,71.2,73.0,82.2
118,119,Bolivia (Plurinational State of),0.444,200.0,71.9,51.8,47.6,59.1,64.2,80.9
119,120,Kyrgyzstan,0.353,75.0,29.3,23.3,94.5,96.8,56.0,79.5
120,121,Iraq,0.539,67.0,68.7,26.5,27.8,50.2,14.9,69.8
123,124,Guyana,0.515,250.0,88.5,31.3,60.3,47.8,42.6,80.5
124,125,Nicaragua,0.449,100.0,100.8,39.1,39.4,38.3,47.4,80.3
125,126,Morocco,0.525,120.0,35.8,11.0,20.7,30.2,26.5,75.8
126,126,Namibia,0.401,130.0,54.9,37.7,33.3,34.4,54.7,63.7
127,128,Guatemala,0.5329999999999999,140.0,97.2,13.3,21.9,23.2,49.3,88.2
128,129,Tajikistan,0.35700000000000004,44.0,42.8,15.2,95.1,91.2,58.9,77.1
129,130,India,0.563,190.0,32.8,12.2,27.0,56.6,27.0,79.9
130,131,Honduras,0.48,120.0,84.0,25.8,28.0,25.8,42.8,82.9
131,132,Bhutan,0.457,120.0,40.9,8.3,34.0,34.5,66.7,77.2
133,134,Syrian Arab Republic,0.5329999999999999,49.0,41.6,12.4,29.5,40.5,13.5,72.7
135,136,Congo,0.593,410.0,126.7,11.5,39.7,47.0,68.5,73.0
138,139,Zambia,0.5870000000000001,280.0,125.4,12.7,25.8,44.0,73.1,85.6
139,140,Ghana,0.5539999999999999,380.0,58.4,10.9,45.2,64.7,67.3,71.4
141,142,Bangladesh,0.503,170.0,80.6,20.0,34.1,41.3,57.4,84.1
142,143,Cambodia,0.47700000000000004,170.0,44.3,19.0,9.9,22.9,78.8,86.5
144,145,Kenya,0.552,400.0,93.6,20.8,25.3,31.4,62.2,72.4
145,145,Nepal,0.489,190.0,73.7,29.5,17.7,38.2,79.9,87.1
146,147,Pakistan,0.536,170.0,27.3,19.7,19.3,46.1,24.6,82.9
147,148,Myanmar,0.413,200.0,12.1,4.7,22.9,15.3,75.2,82.3
149,150,Swaziland,0.557,310.0,72.0,14.7,21.9,26.0,43.9,71.6
150,151,Tanzania (United Republic of),0.547,410.0,122.7,36.0,5.6,9.5,88.1,90.2
152,153,Cameroon,0.5870000000000001,590.0,115.8,27.1,21.3,34.9,63.8,76.8
154,155,Zimbabwe,0.504,470.0,60.3,35.1,48.7,62.0,83.2,89.7
155,156,Mauritania,0.61,320.0,73.3,22.2,8.3,20.9,28.7,79.1
157,158,Papua New Guinea,0.611,220.0,62.1,2.7,7.6,14.5,70.5,74.0
159,160,Yemen,0.7440000000000001,270.0,47.0,0.7,8.6,26.7,25.4,72.2
160,161,Lesotho,0.541,490.0,89.4,26.8,21.9,19.0,59.0,73.5
161,162,Togo,0.588,450.0,91.5,17.6,16.1,40.3,80.6,81.3
162,163,Haiti,0.603,380.0,42.0,3.5,22.4,35.2,60.9,71.0
163,163,Rwanda,0.4,320.0,33.6,57.5,8.0,8.8,86.4,85.3
164,163,Uganda,0.5379999999999999,360.0,126.6,35.0,22.9,33.5,75.8,79.2
165,166,Benin,0.614,340.0,90.2,8.4,11.3,27.0,67.6,78.3
166,167,Sudan,0.591,360.0,84.0,23.8,12.1,18.2,31.3,76.0
169,170,Senegal,0.528,320.0,94.4,42.7,7.2,15.4,66.0,88.0
170,171,Afghanistan,0.693,400.0,86.8,27.6,5.9,29.8,15.8,79.5
171,172,Côte d'Ivoire,0.679,720.0,130.3,9.2,14.0,30.1,52.4,81.4
172,173,Malawi,0.611,510.0,144.8,16.7,11.1,21.6,84.6,81.5
173,174,Ethiopia,0.5579999999999999,420.0,78.4,25.5,7.8,18.2,78.2,89.3
174,175,Gambia,0.622,430.0,115.8,9.4,17.4,31.5,72.2,82.9
175,176,Congo (Democratic Republic of the),0.6729999999999999,730.0,135.3,8.2,12.8,32.4,70.7,73.2
176,177,Liberia,0.6509999999999999,640.0,117.4,10.7,15.4,39.3,58.2,64.8
