AUS,2013,WOMEN,TOT,1102723.05,IMP,246949.7,38.14,7.89
AUS,2013,MEN,TOT,1102723.05,IMP,246949.7,13.65,11.97
AUS,2013,TOT,TOT,1102723.05,IMP,246949.7,24.88,10.1
AUS,2013,WOMEN,TOT,1102723.05,EXP,254201.7,38.14,7.89
AUS,2013,MEN,TOT,1102723.05,EXP,254201.7,13.65,11.97
AUS,2013,TOT,TOT,1102723.05,EXP,254201.7,24.88,10.1
AUS,2014,WOMEN,TOT,1116293.11,IMP,238300.4,38.33,7.98
AUS,2014,MEN,TOT,1116293.11,IMP,238300.4,14.03,12.05
AUS,2014,TOT,TOT,1116293.11,IMP,238300.4,25.21,10.18
AUS,2014,WOMEN,TOT,1116293.11,EXP,240425.8,38.33,7.98
AUS,2014,MEN,TOT,1116293.11,EXP,240425.8,14.03,12.05
AUS,2014,TOT,TOT,1116293.11,EXP,240425.8,25.21,10.18
AUS,2015,WOMEN,TOT,1128361.01,IMP,207262.8,37.97,8.15
AUS,2015,MEN,TOT,1128361.01,IMP,207262.8,14.29,12.11
AUS,2015,TOT,TOT,1128361.01,IMP,207262.8,25.24,10.28
AUS,2015,WOMEN,TOT,1128361.01,EXP,188096.6,37.97,8.15
AUS,2015,MEN,TOT,1128361.01,EXP,188096.6,14.29,12.11
AUS,2015,TOT,TOT,1128361.01,EXP,188096.6,25.24,10.28
AUS,2016,WOMEN,TOT,1181218.13,IMP,198519.0,38.35,8.13
AUS,2016,MEN,TOT,1181218.13,IMP,198519.0,15.06,11.71
AUS,2016,TOT,TOT,1181218.13,IMP,198519.0,25.9,10.04
AUS,2016,WOMEN,TOT,1181218.13,EXP,192569.5,38.35,8.13
AUS,2016,MEN,TOT,1181218.13,EXP,192569.5,15.06,11.71
AUS,2016,TOT,TOT,1181218.13,EXP,192569.5,25.9,10.04
AUS,2013,WOMEN,TOT,46972.96,IMP,246949.7,38.14,7.89
AUS,2013,MEN,TOT,46972.96,IMP,246949.7,13.65,11.97
AUS,2013,TOT,TOT,46972.96,IMP,246949.7,24.88,10.1
AUS,2013,WOMEN,TOT,46972.96,EXP,254201.7,38.14,7.89
AUS,2013,MEN,TOT,46972.96,EXP,254201.7,13.65,11.97
AUS,2013,TOT,TOT,46972.96,EXP,254201.7,24.88,10.1
AUS,2014,WOMEN,TOT,46871.56,IMP,238300.4,38.33,7.98
AUS,2014,MEN,TOT,46871.56,IMP,238300.4,14.03,12.05
AUS,2014,TOT,TOT,46871.56,IMP,238300.4,25.21,10.18
AUS,2014,WOMEN,TOT,46871.56,EXP,240425.8,38.33,7.98
AUS,2014,MEN,TOT,46871.56,EXP,240425.8,14.03,12.05
AUS,2014,TOT,TOT,46871.56,EXP,240425.8,25.21,10.18
AUS,2015,WOMEN,TOT,46644.03,IMP,207262.8,37.97,8.15
AUS,2015,MEN,TOT,46644.03,IMP,207262.8,14.29,12.11
AUS,2015,TOT,TOT,46644.03,IMP,207262.8,25.24,10.28
AUS,2015,WOMEN,TOT,46644.03,EXP,188096.6,37.97,8.15
AUS,2015,MEN,TOT,46644.03,EXP,188096.6,14.29,12.11
AUS,2015,TOT,TOT,46644.03,EXP,188096.6,25.24,10.28
AUS,2016,WOMEN,TOT,48021.88,IMP,198519.0,38.35,8.13
AUS,2016,MEN,TOT,48021.88,IMP,198519.0,15.06,11.71
AUS,2016,TOT,TOT,48021.88,IMP,198519.0,25.9,10.04
AUS,2016,WOMEN,TOT,48021.88,EXP,192569.5,38.35,8.13
AUS,2016,MEN,TOT,48021.88,EXP,192569.5,15.06,11.71
AUS,2016,TOT,TOT,48021.88,EXP,192569.5,25.9,10.04
AUT,2013,WOMEN,TOT,406370.24,IMP,165526.9,33.42,10.55
AUT,2013,MEN,TOT,406370.24,IMP,165526.9,7.9,15.54
AUT,2013,TOT,TOT,406370.24,IMP,165526.9,19.86,13.2
AUT,2013,WOMEN,TOT,406370.24,EXP,164204.7,33.42,10.55
AUT,2013,MEN,TOT,406370.24,EXP,164204.7,7.9,15.54
AUT,2013,TOT,TOT,406370.24,EXP,164204.7,19.86,13.2
AUT,2014,WOMEN,TOT,416955.05,IMP,166206.5,34.93,10.52
AUT,2014,MEN,TOT,416955.05,IMP,166206.5,8.47,15.75
AUT,2014,TOT,TOT,416955.05,IMP,166206.5,20.94,13.29
AUT,2014,WOMEN,TOT,416955.05,EXP,167318.3,34.93,10.52
AUT,2014,MEN,TOT,416955.05,EXP,167318.3,8.47,15.75
AUT,2014,TOT,TOT,416955.05,EXP,167318.3,20.94,13.29
AUT,2015,WOMEN,TOT,431124.37,IMP,140503.4,34.98,10.39
AUT,2015,MEN,TOT,431124.37,IMP,140503.4,8.58,15.33
AUT,2015,TOT,TOT,431124.37,IMP,140503.4,21.03,13.0
AUT,2015,WOMEN,TOT,431124.37,EXP,142823.0,34.98,10.39
AUT,2015,MEN,TOT,431124.37,EXP,142823.0,8.58,15.33
AUT,2015,TOT,TOT,431124.37,EXP,142823.0,21.03,13.0
AUT,2016,WOMEN,TOT,441389.29,IMP,142235.6,34.71,10.04
AUT,2016,MEN,TOT,441389.29,IMP,142235.6,8.57,15.1
AUT,2016,TOT,TOT,441389.29,IMP,142235.6,20.89,12.72
AUT,2016,WOMEN,TOT,441389.29,EXP,142571.8,34.71,10.04
AUT,2016,MEN,TOT,441389.29,EXP,142571.8,8.57,15.1
AUT,2016,TOT,TOT,441389.29,EXP,142571.8,20.89,12.72
AUT,2017,WOMEN,TOT,461582.96,IMP,157799.4,34.75,9.85
